"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"largo";0,734;-0,727;0,956;0,008;-0,765
"justo";-1,1;-0,03;-0,967;0,016;3,284
"jurista";0,279;-0,97;-0,644;-0,066;2,187
"julgar";-1,1;-1,456;6,588;-0,572;0,633
"janones";-0,733;-0,97;0,417;3,645;-1,02
"invadir";0,007;-1,456;-0,967;-2,692;14,784
"intimidação";-1,1;-1,456;37,416;-2,692;-1,531
"interior";-0,549;-0,727;-0,483;1,797;0,316
"inteiro";0,007;-1,456;-0,967;7,737;-1,531
"ingênuo";21,911;-0,97;-0,644;-1,793;-1,02
"inglês";3,658;-0,97;-0,644;-1,793;2,187
"informar";10,868;0,078;-0,644;-1,793;-1,02
"informalidade";0,279;0,078;-0,644;0,683;-1,02
"imenso";3,658;0,078;-0,644;-0,066;-1,02
"ideal";-0,733;-0,97;4,388;0,683;-1,02
"guénon";-0,733;-0,97;-0,644;8,952;-1,02
"graça";0,079;0,001;0,159;0,193;-1,275
"gomes";0,079;-1,212;0,159;-2,243;4,886
"globalização";-1,1;-1,456;1,914;1,025;-0,049
"gesto";0,079;0,001;0,159;-0,28;0
"ganho";-0,916;11,698;0,159;-2,243;-1,275
"fórum";-0,916;1,344;-0,806;-0,28;1,204
"fugir";1,47;0,736;-0,967;-0,572;-0,049
"fraco";-1,1;0,736;0,04;0,016;-0,049
"fracasso";0,079;-1,212;-0,806;-2,243;11,047
"foco";0,079;0,001;0,159;0,193;-1,275
"focar";0,007;-0,03;-0,967;-2,692;8,001
"flávio";-0,733;-0,97;-0,644;-1,793;15,743
"firme";0,007;-1,456;-0,967;-0,572;8,001
"fingir";0,007;0,736;0,04;0,016;-1,531
"filipino";-1,1;-0,03;-0,967;-2,692;14,784
"famoso";0,079;-1,212;0,159;-2,243;4,886
"familiar";0,007;-1,456;-0,967;3,599;-0,049
"faixa";-1,1;24,859;-0,967;-2,692;-1,531
"face";0,279;-0,97;-0,644;3,645;-1,02
"explicação";-1,1;-1,456;0,04;3,599;-0,049
"excesso";-1,1;0,736;0,04;0,016;-0,049
"etc";-0,916;-1,212;0,159;5,651;-1,275
"estável";0,079;0,001;-0,806;0,193;0
"estudar";0,734;-0,727;-0,483;1,797;-0,765
"equivaler";-0,733;16,558;-0,644;-1,793;-1,02
"equador";-0,733;0,078;-0,644;-1,793;7,416
"endividamento";-1,1;24,859;-0,967;-2,692;-1,531
"encontro";-1,1;0,736;-0,967;3,599;-1,531
"emergente";1,47;3,571;-0,967;-0,572;-1,531
"elevado";-0,916;20,707;-0,806;-2,243;-1,275
"eleitorado";0,079;0,001;-0,806;-0,28;1,204
"déficit";-0,916;20,707;-0,806;-2,243;-1,275
"droga";-0,733;7,872;-0,644;-0,066;-1,02
"dominar";-0,733;-0,97;-0,644;-0,066;7,416
"divulgar";21,911;-0,97;-0,644;-1,793;-1,02
"distanciamento";-1,1;0,736;1,914;-0,572;-0,049
"disputar";2,309;-1,212;0,159;-2,243;1,204
"disposto";12,069;-1,456;-0,967;-2,692;0,633
"deteriorar";-1,1;15,633;-0,967;-0,572;-1,531
"deter";-0,916;0,001;0,159;-2,243;4,886
"destaque";0,079;-1,212;2,872;-2,243;1,204
"desrespeitar";1,47;-1,456;0,04;0,016;-0,049
"descrever";-1,1;-1,456;0,04;7,737;-1,531
"demitir";21,203;-1,456;-0,967;-0,572;-1,531
"demissão";15,97;0,001;-0,806;-2,243;-1,275
"deliberado";-1,1;-0,03;1,914;1,025;-1,531
"defensor";-1,1;-0,03;6,588;-0,572;-0,049
"dedicar";0,279;2,379;-0,644;-1,793;0,055
"debater";-1,1;-0,03;-0,967;3,599;-0,049
"data";-0,916;0,001;0,159;-0,28;1,204
"dano";-1,1;-1,456;1,914;1,025;-0,049
"daniel";0,734;0,367;-0,483;0,008;-0,765
"círculo";-0,916;1,344;0,159;-0,28;0
"cruz";-0,916;1,344;-0,806;-0,28;1,204
"critério";3,658;-0,97;4,388;-1,793;-1,02
"credibilidade";1,47;-1,456;0,04;-2,692;3,284
"costa";1,47;-1,456;-0,967;-0,572;3,284
"corrigir";-0,916;11,698;-0,806;-2,243;0
"corresponder";-0,733;0,078;0,417;0,683;-1,02
"convocar";0,079;-1,212;-0,806;-2,243;11,047
"contínuo";-1,1;-1,456;1,914;1,025;-0,049
"contramão";0,279;2,379;0,417;-1,793;-1,02
"conspiratório";-1,1;-1,456;-0,967;3,599;0,633
"consistir";-0,916;0,001;2,872;-0,28;0
"condução";12,069;0,736;-0,967;-2,692;-1,531
"conduta";-1,1;0,736;14,063;-2,692;-1,531
"concluir";5,491;-1,456;-0,967;-0,572;0,633
"compor";0,007;-1,456;-0,967;3,599;-0,049
"competência";3,658;0,078;-0,644;-1,793;0,055
"cometer";5,491;-0,03;0,04;-0,572;-1,531
"combinação";0,079;1,344;-0,806;-0,28;0
"colega";0,279;-0,97;0,417;-0,066;0,055
"cheque";-1,1;-1,456;-0,967;7,737;-0,049
"chegada";-0,733;-0,97;0,417;-1,793;7,416
"centena";0,279;-0,97;-0,644;-0,066;2,187
"castello";27,4;-1,212;-0,806;-2,243;-1,275
"cara";12,069;-0,03;-0,967;-0,572;-1,531
"bruto";-0,916;20,707;-0,806;-2,243;-1,275
"bolsonarista";0,279;2,379;-0,644;-0,066;-1,02
"bolso";0,007;8,537;-0,967;-0,572;-1,531
"barbosa";-1,1;-1,456;37,416;-2,692;-1,531
"autêntico";-1,1;-0,03;14,063;-0,572;-1,531
"autorizar";0,734;0,367;-0,483;0,008;-0,765
"assinante";-0,916;0,001;-0,806;-2,243;11,047
"assembleia";1,47;-0,03;0,04;0,016;-1,531
"armar";-0,916;-1,212;-0,806;1,984;1,204
"aprofundar";-1,1;0,736;0,04;1,025;-1,531
"apontado";0,079;11,698;-0,806;-2,243;-1,275
"anúncio";12,069;-1,456;-0,967;-0,572;-0,049
"alvo";1,47;-1,456;-0,967;-0,572;3,284
"alma";-0,733;-0,97;-0,644;8,952;-1,02
"alimento";-0,916;20,707;-0,806;-2,243;-1,275
"alertar";0,007;-0,03;-0,967;-0,572;3,284
"albertazzi";-1,1;-1,456;-0,967;-2,692;23,634
"agressão";-0,916;-1,212;18,376;-2,243;0
"agressivo";-0,916;0,001;-0,806;0,193;1,204
"agosto";2,309;0,001;-0,806;-0,28;0
"adesão";-0,916;-1,212;0,159;-2,243;11,047
"adequado";-1,1;-0,03;-0,967;7,737;-1,531
"acumular";5,491;3,571;-0,967;-2,692;-1,531
"acontecimento";0,007;-1,456;-0,967;0,016;3,284
"abril";2,309;0,001;-0,806;-2,243;1,204
"viés";-0,733;-0,97;4,388;0,683;-1,02
"vizinho";-0,733;-0,97;-0,644;0,683;2,187
"visível";-0,916;1,344;-0,806;0,193;0
"visar";-0,733;0,078;4,388;-1,793;0,055
"ventura";-0,733;-0,97;-0,644;-1,793;15,743
"veem";2,309;-1,212;0,159;-0,28;0
"variar";-0,916;1,344;0,159;0,193;-1,275
"variante";-0,549;0,367;-0,483;-1,344;3,995
"valorização";2,309;5,243;-0,806;-2,243;-1,275
"urgência";-0,916;1,344;-0,806;1,984;-1,275
"urgente";-0,916;5,243;-0,806;0,193;-1,275
"unir";-0,733;-0,97;-0,644;0,683;2,187
"unidade";-0,916;0,001;-0,806;0,193;1,204
"ue";-0,916;0,001;-0,806;-2,243;11,047
"título";0,279;2,379;-0,644;-0,066;-1,02
"tratamento";0,734;-0,727;0,956;0,008;-0,765
"tratado";-0,733;0,078;4,388;-1,793;0,055
"teste";-0,733;-0,97;-0,644;8,952;-1,02
"tecnológico";-0,549;0,367;0,956;0,008;-0,765
"tecnocrata";-0,916;0,001;2,872;-2,243;1,204
"sustentável";-0,916;5,243;-0,806;-0,28;0
"suspenso";-0,549;12,414;-0,483;-1,344;-0,765
"sucessor";6,027;-0,727;-0,483;-1,344;0,316
"sombrio";-0,549;-0,727;-0,483;1,797;0,316
"silêncio";2,309;-1,212;-0,806;-0,28;1,204
"significado";-0,733;-0,97;-0,644;8,952;-1,02
"sessão";0,279;0,078;-0,644;-0,066;0,055
"servidor";0,079;5,243;-0,806;-0,28;-1,275
"seringa";0,734;4,263;-0,483;-1,344;-0,765
"separar";0,734;-0,727;-0,483;1,797;-0,765
"sentimento";-0,916;-1,212;-0,806;5,651;0
"secretário";-0,916;1,344;-0,806;-0,28;1,204
"sanção";-0,733;0,078;-0,644;-1,793;7,416
"sangue";0,079;-1,212;-0,806;0,193;1,204
"salvini";-0,916;-1,212;-0,806;-2,243;19,687
"ruptura";2,309;-1,212;-0,806;0,193;0
"rousseff";15,97;-1,212;-0,806;-2,243;0
"romancista";-0,549;-0,727;-0,483;1,797;0,316
"rival";-0,733;-0,97;0,417;-1,793;7,416
"retrocesso";-0,733;-0,97;0,417;3,645;-1,02
"resistir";-0,733;-0,97;0,417;3,645;-1,02
"repassar";-0,916;11,698;-0,806;-0,28;-1,275
"renovável";0,079;5,243;-0,806;-0,28;-1,275
"reino";-0,916;-1,212;0,159;-2,243;11,047
"regulação";0,279;0,078;0,417;-1,793;0,055
"registro";-0,733;2,379;4,388;-1,793;-1,02
"reflexão";0,079;-1,212;0,159;1,984;-1,275
"redor";-0,916;-1,212;-0,806;11,195;-1,275
"recomendar";-0,916;-1,212;8,944;0,193;-1,275
"receio";7,606;-1,212;0,159;-2,243;0
"reajuste";7,606;1,344;-0,806;-2,243;-1,275
"radicalismo";-0,916;-1,212;-0,806;5,651;0
"radar";0,079;1,344;0,159;-0,28;-1,275
"racial";-0,916;-1,212;-0,806;5,651;0
"questionamento";-0,733;0,078;-0,644;0,683;0,055
"pós_verdade";-0,916;-1,212;-0,806;11,195;-1,275
"prosperar";-0,916;-1,212;0,159;1,984;0
"propósito";0,734;0,367;-0,483;0,008;-0,765
"propagar";-0,916;0,001;8,944;-0,28;-1,275
"propaganda";-0,733;-0,97;-0,644;8,952;-1,02
"promoção";-0,916;1,344;-0,806;-0,28;1,204
"prolongar";3,658;0,078;0,417;-1,793;-1,02
"previsão";-0,549;-0,727;-0,483;-1,344;11,802
"preocupante";-0,733;0,078;-0,644;-1,793;7,416
"preocupado";-0,549;0,367;0,956;0,008;-0,765
"precipício";-0,733;0,078;-0,644;0,683;0,055
"polêmica";0,279;-0,97;0,417;-1,793;2,187
"planejar";-0,916;-1,212;0,159;0,193;1,204
"peste";2,309;5,243;-0,806;-2,243;-1,275
"perón";-0,733;-0,97;0,417;3,645;-1,02
"personalidade";-0,916;-1,212;0,159;0,193;1,204
"perseguir";-0,916;-1,212;2,872;1,984;-1,275
"pequim";-0,549;-0,727;0,956;-1,344;3,995
"pegar";3,658;0,078;-0,644;-0,066;-1,02
"pautar";-0,916;0,001;-0,806;5,651;-1,275
"patrocinar";-0,549;-0,727;0,956;1,797;-0,765
"participante";7,606;0,001;-0,806;-0,28;-1,275
"oriente";-0,916;-1,212;-0,806;11,195;-1,275
"orientação";-0,916;-1,212;0,159;-0,28;4,886
"online";-0,916;-1,212;-0,806;5,651;0
"oms";-0,916;0,001;-0,806;0,193;1,204
"oligárquico";-0,733;-0,97;4,388;0,683;-1,02
"obscuro";-0,916;-1,212;-0,806;1,984;1,204
"nomeação";0,079;0,001;-0,806;-2,243;4,886
"nomear";3,658;-0,97;-0,644;-1,793;2,187
"negação";-0,916;0,001;8,944;-0,28;-1,275
"necessitar";7,606;0,001;-0,806;-2,243;0
"nascer";-0,916;-1,212;2,872;1,984;-1,275
"nacionalista";-0,916;-1,212;-0,806;0,193;4,886
"música";-0,733;-0,97;-0,644;-0,066;7,416
"mágico";-0,916;0,001;-0,806;1,984;0
"muro";-0,916;-1,212;-0,806;-2,243;19,687
"mudado";-0,733;-0,97;-0,644;3,645;0,055
"motivar";-0,733;-0,97;4,388;0,683;-1,02
"moral";-0,733;-0,97;4,388;0,683;-1,02
"moderação";0,279;-0,97;0,417;0,683;-1,02
"mistura";0,279;2,379;-0,644;-1,793;0,055
"militarização";0,734;-0,727;-0,483;0,008;0,316
"mexer";15,97;-1,212;0,159;-2,243;-1,275
"mesa";-0,733;2,379;-0,644;0,683;-1,02
"memória";2,309;-1,212;0,159;0,193;-1,275
"mello";-0,733;-0,97;4,388;0,683;-1,02
"melhorar";-0,733;2,379;-0,644;0,683;-1,02
"melhora";2,309;5,243;-0,806;-2,243;-1,275
"mediação";-0,916;-1,212;31,167;-2,243;-1,275
"mccartney";0,279;-0,97;-0,644;0,683;0,055
"materialista";-0,733;-0,97;-0,644;8,952;-1,02
"mata";3,658;0,078;-0,644;-0,066;-1,02
"mario";0,279;0,078;-0,644;-1,793;2,187
"marcelo";2,309;-1,212;-0,806;-0,28;1,204
"manifesto";-0,733;-0,97;-0,644;-1,793;15,743
"maiúsculo";-0,916;-1,212;0,159;1,984;0
"magistrado";-0,549;0,367;7,023;-1,344;-0,765
"luz";-0,916;5,243;0,159;-2,243;0
"limitação";0,079;5,243;-0,806;-0,28;-1,275
"ligação";-0,733;-0,97;-0,644;-1,793;15,743
"ligado";7,606;0,001;-0,806;-2,243;0
"liberar";-0,549;12,414;-0,483;-1,344;-0,765
"legitimidade";-0,916;-1,212;8,944;-0,28;0
"lacerda";-0,733;-0,97;12,557;-0,066;-1,02
"kamala";-0,916;-1,212;-0,806;-2,243;19,687
"jurisprudência";0,734;-0,727;0,956;0,008;-0,765
"junho";-0,733;0,078;-0,644;-0,066;2,187
"japão";-0,916;-1,212;-0,806;11,195;-1,275
"irresponsável";-0,916;0,001;8,944;-0,28;-1,275
"inúmero";0,279;2,379;-0,644;-0,066;-1,02
"interferência";10,868;-0,97;0,417;-1,793;-1,02
"interferir";-0,733;2,379;-0,644;-1,793;2,187
"interessado";-0,549;-0,727;-0,483;1,797;0,316
"inspirar";-0,733;-0,97;4,388;-0,066;0,055
"infectado";-0,549;12,414;-0,483;-1,344;-0,765
"inclinação";-0,733;2,379;-0,644;0,683;-1,02
"incentivar";-0,916;0,001;0,159;-0,28;1,204
"incapaz";-0,916;0,001;0,159;1,984;-1,275
"igualdade";-0,733;-0,97;-0,644;3,645;0,055
"hábito";-0,916;-1,212;-0,806;5,651;0
"horizonte";-0,916;0,001;0,159;0,193;0
"hierarquia";-0,549;-0,727;-0,483;6,711;-0,765
"george";-0,916;-1,212;-0,806;-2,243;19,687
"físico";-0,733;-0,97;0,417;0,683;0,055
"fé";0,079;-1,212;-0,806;1,984;0
"frustração";3,658;0,078;-0,644;-1,793;0,055
"franco";0,279;0,078;-0,644;-0,066;0,055
"fragilidade";3,658;-0,97;0,417;-0,066;-1,02
"formado";-0,916;-1,212;0,159;-2,243;11,047
"fogueira";0,079;1,344;0,159;-0,28;-1,275
"fgv";0,079;5,243;0,159;-2,243;-1,275
"ferir";-0,916;0,001;8,944;-0,28;-1,275
"felipe";16,426;-0,727;-0,483;-1,344;-0,765
"farto";-0,916;-1,212;0,159;5,651;-1,275
"farsa";-0,733;-0,97;12,557;-0,066;-1,02
"facebook";0,734;-0,727;-0,483;1,797;-0,765
"extensão";2,309;0,001;-0,806;-0,28;0
"explorar";0,079;0,001;-0,806;0,193;0
"executar";3,658;2,379;-0,644;-1,793;-1,02
"exclusão";-0,733;2,379;-0,644;0,683;-1,02
"excluir";0,079;1,344;2,872;-2,243;-1,275
"estrela";-0,733;0,078;-0,644;-0,066;2,187
"estender";-0,733;16,558;-0,644;-1,793;-1,02
"espectro";-0,916;-1,212;-0,806;0,193;4,886
"esfera";-0,916;0,001;0,159;1,984;-1,275
"escócia";0,279;-0,97;-0,644;-1,793;7,416
"escrita";-0,549;-0,727;-0,483;1,797;0,316
"escapar";-0,733;-0,97;0,417;3,645;-1,02
"erosão";-0,916;-1,212;8,944;0,193;-1,275
"envelhecer";-0,916;-1,212;0,159;5,651;-1,275
"enfraquecimento";-0,733;2,379;0,417;-0,066;-1,02
"emmanuel";-0,916;-1,212;-0,806;-0,28;11,047
"embaixador";0,734;-0,727;-0,483;-1,344;3,995
"eficaz";-0,549;4,263;-0,483;0,008;-0,765
"edição";0,734;-0,727;-0,483;0,008;0,316
"diário";-0,733;7,872;0,417;-1,793;-1,02
"diálogo";-0,549;-0,727;-0,483;1,797;0,316
"ditador";-0,916;-1,212;2,872;-0,28;1,204
"distanciar";-0,916;-1,212;-0,806;-2,243;19,687
"dirigir";-0,916;-1,212;-0,806;5,651;0
"dezena";-0,549;-0,727;0,956;0,008;0,316
"dezembro";0,279;0,078;-0,644;-1,793;2,187
"detalhe";0,079;5,243;-0,806;-0,28;-1,275
"destino";0,079;-1,212;-0,806;1,984;0
"desigual";-0,733;0,078;-0,644;0,683;0,055
"descontentamento";0,079;0,001;-0,806;1,984;-1,275
"desconfiança";2,309;-1,212;2,872;-0,28;-1,275
"descer";-0,916;0,001;-0,806;-2,243;11,047
"descaso";-0,733;0,078;4,388;-0,066;-1,02
"desafiar";-0,916;-1,212;-0,806;5,651;0
"denunciar";0,079;0,001;2,872;-0,28;-1,275
"custeio";-0,916;20,707;-0,806;-2,243;-1,275
"curva";-0,916;11,698;-0,806;-2,243;0
"crueldade";-0,549;-0,727;7,023;0,008;-0,765
"criação";0,279;7,872;-0,644;-1,793;-1,02
"credo";-0,916;-1,212;-0,806;11,195;-1,275
"covid";0,079;1,344;0,159;-0,28;-1,275
"cortar";0,079;1,344;0,159;-2,243;0
"corrupto";-0,549;-0,727;-0,483;1,797;0,316
"coragem";0,079;-1,212;0,159;0,193;0
"convencido";0,079;-1,212;0,159;0,193;0
"contribuição";-0,916;-1,212;0,159;1,984;0
"contrato";-0,549;-0,727;7,023;-1,344;0,316
"contratar";10,868;0,078;-0,644;-1,793;-1,02
"contrapor";-0,916;-1,212;2,872;1,984;-1,275
"contrapartida";2,309;1,344;-0,806;-2,243;0
"continente";-0,916;-1,212;0,159;-2,243;11,047
"consenso";-0,916;11,698;-0,806;-0,28;-1,275
"conquistar";-0,916;-1,212;-0,806;-0,28;11,047
"congressista";0,279;-0,97;-0,644;-1,793;7,416
"congelamento";-0,916;11,698;-0,806;-2,243;0
"confusão";-0,916;0,001;-0,806;-0,28;4,886
"confronto";-0,733;-0,97;-0,644;-1,793;15,743
"confrontar";-0,916;0,001;2,872;-0,28;0
"confiar";2,309;-1,212;0,159;-0,28;0
"conexão";-0,916;-1,212;-0,806;11,195;-1,275
"conectar";-0,733;0,078;-0,644;3,645;-1,02
"conclusão";-0,733;-0,97;-0,644;3,645;0,055
"conceber";0,079;-1,212;0,159;0,193;0
"compreender";0,079;-1,212;-0,806;5,651;-1,275
"compartilhar";-0,916;-1,212;0,159;1,984;0
"comentário";-0,733;-0,97;0,417;3,645;-1,02
"colômbia";0,734;-0,727;-0,483;-1,344;3,995
"cobrar";0,079;0,001;2,872;-0,28;-1,275
"cláusula";0,079;5,243;0,159;-2,243;-1,275
"clinton";-0,916;-1,212;-0,806;-2,243;19,687
"ciro";3,658;-0,97;-0,644;-0,066;0,055
"choque";0,079;1,344;-0,806;0,193;-1,275
"charles";-0,916;-1,212;-0,806;-2,243;19,687
"cerimônia";-0,916;-1,212;-0,806;-2,243;19,687
"centro_esquerda";0,079;-1,212;-0,806;-2,243;11,047
"centro_direita";0,079;-1,212;-0,806;-2,243;11,047
"celebrar";-0,916;-1,212;2,872;0,193;0
"caráter";-0,916;0,001;-0,806;5,651;-1,275
"carro";2,309;0,001;0,159;-2,243;0
"carreira";2,309;-1,212;-0,806;0,193;0
"capricho";-0,916;0,001;8,944;-0,28;-1,275
"capitão";6,027;-0,727;-0,483;-1,344;0,316
"camboja";-0,916;-1,212;-0,806;-2,243;19,687
"britânico";-0,733;-0,97;-0,644;-0,066;7,416
"breve";-0,549;4,263;0,956;-1,344;-0,765
"bloquear";-0,916;-1,212;-0,806;-2,243;19,687
"beneficiário";0,079;5,243;-0,806;-2,243;0
"bastidor";2,309;0,001;-0,806;-0,28;0
"barreira";0,079;-1,212;-0,806;-2,243;11,047
"barack";-0,916;0,001;-0,806;-2,243;11,047
"bandeira";0,079;-1,212;-0,806;-0,28;4,886
"baixar";0,079;-1,212;0,159;1,984;-1,275
"atrair";7,606;0,001;-0,806;-2,243;0
"assegurar";0,279;0,078;0,417;-0,066;-1,02
"arte";-0,916;-1,212;0,159;5,651;-1,275
"aquecimento";-0,733;2,379;0,417;-0,066;-1,02
"apelar";-0,916;-1,212;-0,806;5,651;0
"ansiedade";-0,733;-0,97;-0,644;3,645;0,055
"amarelo";0,279;0,078;-0,644;0,683;-1,02
"alternativa";0,079;-1,212;-0,806;-0,28;4,886
"alteração";-0,733;2,379;-0,644;0,683;-1,02
"alterar";-0,549;4,263;-0,483;0,008;-0,765
"agulha";0,734;4,263;-0,483;-1,344;-0,765
"adicional";0,079;11,698;-0,806;-2,243;-1,275
"acusação";10,868;-0,97;0,417;-1,793;-1,02
"acionar";-0,916;11,698;0,159;-2,243;-1,275
"abuso";0,079;1,344;0,159;-0,28;-1,275
"abraçar";27,4;-1,212;-0,806;-2,243;-1,275
"óleo";10,868;0,078;-0,644;-1,793;-1,02
"de";2,442;1,223;0,714;-11,049;0,36
"a";-0,547;0,136;3,79;-3,102;0,426
"o";-0,03;10,066;-1,845;-5,975;1,012
"em";2,644;-0,22;-2,48;-1,227;2,643
"que";1,468;-4,499;-4,6;8,537;-0,266
"ser";3,107;-0,019;-2,402;2,281;-3,432
"para";-16,956;18,523;-4,836;0,2;0,702
"por";0,822;0,423;0,001;-1,625;0
"um";0,253;-9,376;-0,012;0,782;2,697
"não";-0,31;-1,035;-0,721;15,547;-5,287
"com";-0,101;0,049;-0,698;-0,357;2,166
"se";-0,703;-7,499;-0,001;17,534;-1,793
"uma";0,238;-2,381;-2,46;16,45;-4,984
"ter";0,02;-0,049;-0,098;0,418;-0,148
"como";-0,579;-17,627;2,426;8,983;0,001
"ir";7,067;0,335;-16,55;-0,024;0,51
"mais";-0,393;8,67;-0,574;-2,386;0,008
"ao";-0,082;0,669;-0,438;-0,888;1,218
"poder";-0,558;-4,595;0,245;0,116;3,864
"estar";-0,324;-0,77;-0,132;3,226;-0,142
"ele";0,598;-8,265;2,129;0,436;0,015
"fazer";6,433;-0,536;-0,069;-0,151;-0,787
"sua";-0,756;-7,344;1,056;3,571;0,157
"seu";0,121;-6,438;0,014;0,48;1,661
"haver";1,53;0,147;-6,672;1,781;-0,648
"muito";-2,001;-1,69;-3,465;24,835;-2,484
"isso";0,094;0,145;-3,616;2,999;-1,015
"outro";-1,552;-2,633;0;4,724;0,04
"também";0,063;-1,723;0,408;0,556;-0,114
"todo";-0,336;0,862;0,512;-0,033;-0,64
"já";-0,04;1,869;-0,295;-0,099;-0,114
"sobre";0,194;0,008;0,018;0,748;-2,536
"entre";-0,052;0,531;-1,368;0,154;0,002
"estado";-4,983;-0,029;5,636;-4,955;7,258
"contra";-4,676;-5,407;22,461;-0,718;1,293
"ainda";4,154;2,396;-2,049;-2,046;-0,234
"esse";-2,118;-0,817;4,737;2,131;-1,82
"ver";1,834;-1,75;-2,179;0,543;0,257
"quando";-4,086;-1,253;-0,058;2,144;2,087
"essa";-8,626;-1,416;5,603;5,538;-0,856
"sem";-0,214;0,541;2,067;-0,26;-0,918
"dois";0,076;0,005;-5,538;-0,916;7,848
"segundo";1,692;0,033;-0,096;-6,35;3,289
"até";0,076;-0,039;-4,177;0,186;1,455
"porque";0,002;0,365;-0,48;2,722;-3,753
"tempo";-3,384;-0,011;-0,276;7,028;-0,706
"parte";4,616;1,087;-1,705;-0,72;-0,742
"primeiro";0,004;1,061;-0,896;-0,029;-0,004
"agora";6,697;-0,713;-4,279;0,414;-0,209
"algum";6,398;-2,283;-3,742;1,48;-0,273
"qual";-1,87;0,355;0,127;0,037;0,014
"desde";-1,361;-0,599;0,3;-0,002;1,949
"assim";-3,58;-0,086;-0,312;0,641;2,401
"ela";-2,359;-0,006;0,318;1,12;-0,059
"tentar";-1,224;-4,675;1,068;0,942;1,256
"depois";0,033;-1,039;-1,234;-0,983;8,604
"lhe";2,92;-4,879;-0,765;0,952;0,072
"apenas";1,492;-0,135;-2,002;1,951;-1,269
"além";-0,263;4,012;0,918;-0,645;-1,992
"sempre";-0,265;-1,019;-0,742;11,935;-3,145
"tudo";0;-1,354;-3,318;3,529;0,321
"quem";0,461;-1,354;0,132;0,06;-0,003
"cada";0,461;-0,044;0,132;0,268;-1,715
"pouco";0,638;-0,008;-4,481;-0,469;3,9
"você";0,096;-0,666;-0,291;5,237;-2,696
"menos";-0,264;0,742;-1,922;-0,255;1,917
"qualquer";0,888;-0,349;-0,408;0;0,082
"hoje";1,672;-0,395;-1,465;1,199;-0,581
"nada";0,134;-3,48;-0,349;6,278;-0,746
"este";-1,276;-0,112;0,147;1,68;-0,225
"fim";0,319;-0,875;-2,042;0,086;1,699
"tanto";-2,314;-1,98;0,63;3,643;-0,015
"antes";2,037;-2,894;0;-2,046;4,077
"nosso";-0,853;-0,644;1,128;7,288;-5,733
"eu";0,331;-6,142;-1,734;3,609;0,759
"embora";-1,391;0,027;-0,851;1,25;0,165
"tão";1,166;0,103;-0,671;-0,11;-0,041
"me";0,19;-5,775;-3,284;23,562;-4,189
"bilhão";10,384;16,722;-3,441;-15,44;-0,665
"então";9,797;-6,142;-0,181;-0,01;0,011
"alguma";0,048;-4,151;-1,612;4,105;0,328
"muita";0,003;-1,975;-1,148;0,008;4,629
"quase";-3,406;4,395;-0,505;0,048;-0,002
"quanto";-1,691;0,061;0,122;0,196;0,014
"nunca";0,188;-0,425;-0,035;0,108;0,001
"apesar";0;0,027;-0,429;-0,517;1,537
"aquele";-1,554;-1,802;0,176;3,974;-0,044
"2020";0,077;12,373;-3,598;-4,602;0,145
"quatro";-2,539;-0,902;-0,072;0,976;2,143
"nós";-1,039;-8,098;-0,084;4,835;2,076
"após";1,488;-0,124;-0,83;-3,157;4,304
"talvez";-0,442;-1,469;-1,971;3,641;0,647
"algo";0;-0,06;-0,035;0,108;0,001
"2022";1,999;-1,975;-0,016;-0,383;0,868
"sob";3,2;-1,31;-0,126;0,309;-0,665
"2019";-2,713;3,837;-0,118;-1,682;1,786
"nossa";-0,015;0,027;1,313;0,033;-1,55
"5";0,479;26,781;-2,817;-6,226;-1,989
"maioria";-4,136;0,027;0,021;-0,037;3,105
"durante";-0,037;-0,612;1,126;-0,092;0,145
"aí";0,034;0,287;-2,817;1,173;-0,246
"aqui";0,479;-1,742;-1,314;1,173;0,174
"esta";-1,647;-1,563;-0,302;8,086;-0,169
"diante";6,782;0,801;-0,458;-4,773;-0,017
"verdade";1,975;-3,844;1,52;-0,006;-0,092
"três";-2,539;-0,195;0,098;3,451;-0,287
"2";-2,024;9,548;-3,57;0,008;-0,061
"1";-0,813;20,311;-3,734;-0,916;-0,754
"trabalho";3,727;0,068;-0,234;-3,67;0,389
"2018";4,715;0,928;-0,835;-6,64;0,716
"nenhum";0,126;-0,024;-1,611;0,308;0,082
"mil";-0,813;1,776;-3,734;-0,916;5,099
"vário";0;-2,33;0,638;-0,197;1,786
"minha";-4,247;-0,614;-1,758;9,754;0,03
"hora";0,399;0,004;-0,072;0,014;-0,287
"20";-3,875;-2,927;0,003;1,414;4,155
"sim";0,006;-2,124;-0,072;2,024;-0,001
"lá";3,263;-0,258;-0,251;-0,331;-0,001
"entanto";-0,162;-0,754;-0,618;-0,035;4,442
"3";-0,108;9,563;-2,59;-1,117;-0,024
"tal";0,853;-0,65;6,599;-0,018;-4,358
"isto";-0,357;-0,167;-0,177;2,426;-0,24
"demais";-0,571;-0,003;0,48;0,058;-0,02
"alguém";0,635;-0,81;-0,114;1,553;-0,945
"meu";0,318;-4,881;-1,324;14,423;-2,915
"lhes";-0,022;1,116;-0,332;1,414;-3,158
"especialmente";-0,022;-0,365;-0,332;2,767;-0,472
"10";-0,357;9,494;-3,079;0,004;-1,129
"inclusive";5,154;0,179;0,207;-1,412;-2,197
